p_nombre_barrio,p_Población edad de 0 a 14 ,p_Población edad de 15 a 29,p_Población edad de 30 a 44 ,p_Población edad de 45 a 64 ,p_Población edad de 65 a 79 ,p_Población edad de 80 y + ,p_Tasa absoluta paro registrado,p_Población sin estudios,p_ Población con estudios superiores,p_rankingvulnerabilidad
Los Rosales,0.147613252197431,0.171521298174442,0.20946585530764,0.30393509127789,0.113806626098715,0.053657876943881,0.0979,0.090368303161605,0.098740498659714,0.009784459
Los Ángeles,0.115047731522488,0.147623265426631,0.195157956894007,0.27024899124102,0.162549617819768,0.109372437096086,0.1062,0.085660003304147,0.097554931438956,0.010032103
Casco Histórico de Vicálvaro,0.141578947368421,0.153362573099415,0.225672514619883,0.259035087719298,0.141929824561404,0.078421052631579,0.1192,0.121098387652713,0.075945004021294,0.00950182
Valdebernardo,0.139139309406362,0.224017690083347,0.13454669161422,0.400635028632987,0.074275670465499,0.027385609797585,0.0894,0.047372742200328,0.22192118226601,0.00815925
Valderrivas,0.292244224422442,0.094884488448845,0.278877887788779,0.281023102310231,0.041309130913091,0.011661166116612,0.0573,0.014463883596051,0.273514637103759,0.007122399
El Cañaveral,0.201058201058201,0.158730158730159,0.411640211640212,0.19047619047619,0.032804232804233,0.005291005291005,0.0601,0.014245014245014,0.183760683760684,0.007614949
Simancas,0.149328243153953,0.151310476470156,0.237611041773732,0.297628661625431,0.087475222083548,0.07664635489318,0.0908,0.064761812360532,0.185310953720772,0.008505973
Hellín,0.109607426462364,0.15345039704731,0.193602505312605,0.291466278939716,0.098199306565261,0.153674085672744,0.1197,0.114042434394193,0.072445561139029,0.009396693
Amposta,0.142822909178049,0.163431583992332,0.205847112389168,0.284327821710999,0.094775940570333,0.108794632159118,0.1307,0.109773483288452,0.063836527799778,0.009796174
Arcos,0.149045490621998,0.158277288107273,0.201929905175655,0.308617736747567,0.099669994569531,0.082459584777977,0.1007,0.102932107417167,0.117900992319336,0.008601381
Rosas,0.171451204055767,0.168631178707224,0.159505703422053,0.369328263624842,0.095057034220532,0.036026615969582,0.0598,0.027358105349122,0.24322852865115,0.007135216
Rejas,0.200183879865155,0.13325160894882,0.303463070793748,0.2508121360711,0.063315966901624,0.048973337419553,56,0.030696576151122,0.320627424523528,0.007526801
Canillejas,0.119990181983941,0.151863669834146,0.215785967249904,0.280795259300817,0.152740278410884,0.078824643220309,0.0884,0.071238112167807,0.142653986312328,0.008492104
Salvador,0.110038096925667,0.190396030831931,0.149818375121822,0.347125011074688,0.134668202356694,0.0679542836892,0.0623,0.025122121423587,0.357408699697604,0.007173188
Alameda de Osuna,0.159827213822894,0.123830093592513,0.210686002262676,0.256042373752957,0.205903527717783,0.043710788851178,0.0498,0.014023144996596,0.361266167460858,0.005880937
Aeropuerto,0.146042363433668,0.165551839464883,0.244147157190635,0.289855072463768,0.085841694537347,0.068561872909699,0.0782,0.099264705882353,75,0.007642576
Casco Histórico de Barajas,0.109869138495093,0.148446019629226,0.269492911668484,0.28680479825518,0.119274809160305,0.066112322791712,0.0755,0.07992596331819,0.128554602052835,0.007272295
Timón,0.19863829787234,0.144425531914894,0.285021276595745,0.270808510638298,0.069787234042553,0.03131914893617,0.0577,0.039768618944324,0.279705953241745,0.006339495
Corralejos,0.24474034620506,0.131025299600533,0.217043941411451,0.307057256990679,0.070439414114514,0.029693741677763,42,0.02353181911193,0.486801718845918,0.005635231
Casco Histórico de Vallecas,0.16713638651233,0.167765475591344,0.234046300956215,0.265374937091092,0.109864116758933,0.055812783090086,0.1205,0.123508187621427,0.071537607549265,0.009869551
Santa Eugenia,0.109322905947726,0.176085614323935,0.191232763943198,0.319201481786376,0.153899979419634,0.050257254579132,0.0922,0.0610971260751,0.15659744073841,0.008561733
Ensanche de Vallecas,0.244990140780483,0.113977163296189,0.415783922593663,0.184780116476361,0.029073233365433,0.011395423487871,0.0765,0.023467670066343,0.26603294055517,0.008022136
